Appetizers,Vegetable Pakoda,Mix vegetable and mashed potatoes deep in tempura batter and deep fried.,8
Appetizers,Lasooni Govi,Cauliflower battered in chickpea flour and marinated in ginger & garlic & and Himalayan spices.,12
Appetizers,Beef Sekuwa,Beef cubes grilled in clay oven.,13
Entrees,Dal Makhini,Combination of lentils cooked in tomato and onion and cashew nut sauce. Served with Basmati rice.,20
Entrees,Chana Massala,Chickpeas cooked in onion and tomato & Masala sauce.,18
Entrees,Himalayan Aloo,Spicy potatoes and cauliflower mix in curry sauce. Served with Basmati rice.,19
Entrees,Murgh Makhini,Chicken marinated in ginger and garlic and tomato onion sauce and Himalayan spices. Served with Basmati rice.,23
Entrees,Lamb Vindaloo,Lamb and potato mix curry with spicy sauce. Served with Basmati rice. *Cannot make mild*.,24
Entrees,Saag Paneer,Glazed spinach blend with Himalayan cheese (paneer). Served with Basmati rice.,22
Tandoori,Tandoori Chicken (With Bones),Chicken marinated in yogurt and spices and roasted in a tandoor.,20
Tandoori,Tandoori Chicken Tika (Boneless Chicken Cubes),Chicken marinated in yogurt and spices and roasted in a tandoor.,22
Tandoori,Seafood Tandoori,Shrimp and scallops and lobster.,36
Tandoori,Paneer Tandoori,Marinated paneer cheese baked in a traditional tandoor oven.,23
Rice,Lamb Biryani,Indian style Mutton fried rice served with Raita (yogurt) Sauce.,24
Rice,Mix Fried Rice,Vegetable & egg & beef & chicken.,20
Noodles,Shrimp Fried Noodle,Stir fried noodles with shrimp and vegetables.,24
Noodles,Egg Fried Noodle,Stir fried noodles with egg and vegetables.,17
Dessert,Gulab Jamun,Deep fried milk balls soaked in sugar syrup.,5
Dessert,Himalayan Kulfi,Mango & Pistachio & Cashew & Almond.,5
